Input: 3,4092; 5,4049; -2,5228; -0,8996;  Output: 8,8184; Desired output: 0;  Error: 8,8184;
Input: -0,2361; 9,3221; 2,1307; -4,3793;  Output: 7,4718; Desired output: 0;  Error: 7,4718;
Input: 3,8197; 8,9951; -4,383; -4,0327;  Output: 7,2462; Desired output: 0;  Error: 7,2462;
Input: -1,1391; 1,8127; 6,9144; 0,7013;  Output: 6,9355; Desired output: 0;  Error: 6,9355;
Input: 4,9249; 0,6891; 0,7734; 1,2095;  Output: 11,0887; Desired output: 0;  Error: 11,0887;
Input: 2,5089; 6,841; -0,0294; 0,4491;  Output: 2,6463; Desired output: 0;  Error: 2,6463;
Input: -0,2062; 9,2207; -3,7044; -6,8103;  Output: 8,1021; Desired output: 0;  Error: 8,1021;
Input: 3,946; 6,8514; -1,5443; -0,5582;  Output: 14,1836; Desired output: 0;  Error: 14,1836;
Input: -0,278; 8,1881; -3,1338; -2,5276;  Output: 7,4718; Desired output: 0;  Error: 7,4718;
Input: 1,8592; 3,2074; -0,1597; -0,2621;  Output: 3,1283; Desired output: 0;  Error: 3,1283;
Input: 0,5695; 7,6294; 1,5754; -3,2233;  Output: 4,8969; Desired output: 0;  Error: 4,8969;
Input: 3,4626; -4,449; 3,5427; 0,1543;  Output: 1,4638; Desired output: 0;  Error: 1,4638;
Input: 3,3951; 1,1484; 2,1401; 2,0862;  Output: 6,8768; Desired output: 0;  Error: 6,8768;
Input: 5,0429; -0,5297; 0,5044; 1,106;  Output: 10,8631; Desired output: 0;  Error: 10,8631;
Input: 3,7758; 7,1783; -1,5195; 0,4013;  Output: 16,0121; Desired output: 0;  Error: 16,0121;
Input: 4,6562; 7,6398; -2,4243; -1,2384;  Output: 14,6656; Desired output: 0;  Error: 14,6656;
Input: 4,0948; -2,9674; 2,3689; 0,7543;  Output: -1,9814; Desired output: 0;  Error: -1,9814;
Input: 1,8384; 6,063; 0,5472; 0,5125;  Output: 6,1695; Desired output: 0;  Error: 6,1695;
Input: 2,0153; 0,4366; 4,5864; -0,3151;  Output: 5,5302; Desired output: 0;  Error: 5,5302;
Input: 3,5251; 0,7201; 1,6928; 0,6444;  Output: 11,0887; Desired output: 0;  Error: 11,0887;
Input: 3,757; -5,4236; 3,8255; -1,2526;  Output: -7,0765; Desired output: 0;  Error: -7,0765;
Input: 2,5989; 3,5178; 0,7623; 0,8112;  Output: 7,516; Desired output: 0;  Error: 7,516;
Input: 1,8994; 0,9746; 4,2265; 0,8138;  Output: 5,5302; Desired output: 0;  Error: 5,5302;
Input: 3,6941; -3,9482; 4,2625; 1,1577;  Output: 0,8335; Desired output: 0;  Error: 0,8335;
Input: 4,4295; -2,3507; 1,7048; 0,9095;  Output: 11,9446; Desired output: 0;  Error: 11,9446;
Input: 6,8248; 5,2187; -2,5425; 0,5461;  Output: 19,0533; Desired output: 0;  Error: 19,0533;
Input: 1,8967; -2,5163; 2,8093; -0,7974;  Output: -9,6515; Desired output: 0;  Error: -9,6515;
Input: 2,1526; -6,1665; 8,0831; -0,3436;  Output: 2,3655; Desired output: 0;  Error: 2,3655;
Input: 3,3004; 7,0811; -1,3258; 0,2228;  Output: 16,0121; Desired output: 0;  Error: 16,0121;
Input: 2,7213; 7,05; -0,5881; 0,4181;  Output: 19,5353; Desired output: 0;  Error: 19,5353;
Input: 3,8846; -3,0336; 2,5334; 0,2021;  Output: -0,0439; Desired output: 0;  Error: -0,0439;
Input: 4,1665; -0,4449; 0,2345; 0,2784;  Output: 11,719; Desired output: 0;  Error: 11,719;
Input: 0,9423; 5,8561; 1,8762; -0,3254;  Output: 7,6772; Desired output: 0;  Error: 7,6772;
Input: 5,1321; -0,031; 0,3262; 1,1151;  Output: 11,0887; Desired output: 0;  Error: 11,0887;
Input: 0,3825; 6,8121; 1,8128; -0,6125;  Output: 4,4461; Desired output: 0;  Error: 4,4461;
Input: 3,0333; -2,5928; 2,3183; 0,303;  Output: 1,4638; Desired output: 0;  Error: 1,4638;
Input: 2,9233; 6,0464; -0,1117; -0,5867;  Output: 17,7068; Desired output: 0;  Error: 17,7068;
Input: 1,162; 10,2926; -1,2821; -4,0392;  Output: 7,4718; Desired output: 0;  Error: 7,4718;
Input: 3,7791; 2,5762; 1,3098; 0,5655;  Output: 6,2372; Desired output: 0;  Error: 6,2372;
Input: 0,7776; 5,9781; 1,1941; -0,3526;  Output: 3,1283; Desired output: 0;  Error: 3,1283;
Input: -0,3839; -1,0471; 8,0514; 0,4957;  Output: 1,6067; Desired output: 0;  Error: 1,6067;
Input: 0,2108; 9,4359; -0,0945; -1,859;  Output: 14,6656; Desired output: 0;  Error: 14,6656;
Input: 2,9571; -4,5938; 5,9068; 0,572;  Output: -0,995; Desired output: 0;  Error: -0,995;
Input: 4,6439; -3,3729; 2,5976; 0,5526;  Output: 7,1835; Desired output: 0;  Error: 7,1835;
Input: 3,3577; -4,3062; 6,0241; 0,1827;  Output: -0,513; Desired output: 0;  Error: -0,513;
Input: 3,5127; 2,9073; 1,0579; 0,4077;  Output: 7,516; Desired output: 0;  Error: 7,516;
Input: 2,6562; 10,7044; -3,3085; -4,0767;  Output: 7,4718; Desired output: 0;  Error: 7,4718;
Input: -1,3612; 10,694; 1,7022; -2,9026;  Output: 14,6656; Desired output: 0;  Error: 14,6656;
Input: -0,278; 8,1881; -3,1338; -2,5276;  Output: 7,4718; Desired output: 0;  Error: 7,4718;
Input: 1,04; -6,9321; 8,2888; -1,2991;  Output: 1,3811; Desired output: 0;  Error: 1,3811;
Input: 2,1881; 2,7356; 1,3278; -0,1832;  Output: 6,1695; Desired output: 0;  Error: 6,1695;
Input: 4,2756; -2,6528; 2,1375; 0,9444;  Output: 13,4523; Desired output: 0;  Error: 13,4523;
Input: -0,12; 6,8741; 0,92; -0,6694;  Output: 17,7068; Desired output: 0;  Error: 17,7068;
Input: 2,9736; 8,7944; -3,6359; -1,3754;  Output: 7,4718; Desired output: 0;  Error: 7,4718;
Input: 3,7798; -3,3109; 2,6491; 0,0664;  Output: -0,0439; Desired output: 0;  Error: -0,0439;
Input: 5,3586; 3,7557; -1,7345; 1,0789;  Output: 4,4749; Desired output: 0;  Error: 4,4749;
Input: 1,8373; 6,1292; 0,8403; 0,5526;  Output: 6,1695; Desired output: 0;  Error: 6,1695;
Input: 1,2262; 0,896; 5,7568; -0,116;  Output: 5,5302; Desired output: 0;  Error: 5,5302;
Input: -0,048; -0,5608; 7,7215; 0,453;  Output: -1,2718; Desired output: 0;  Error: -1,2718;
Input: 0,5706; -0,0248; 1,2421; -0,5621;  Output: -3,8086; Desired output: 0;  Error: -3,8086;
Input: 4,3634; 0,4635; 1,4281; 2,0202;  Output: 11,0887; Desired output: 0;  Error: 11,0887;
Input: 3,482; -4,1634; 3,5008; -0,0785;  Output: 1,4638; Desired output: 0;  Error: 1,4638;
Input: 0,5195; -3,2633; 3,0895; -0,9849;  Output: -4,9567; Desired output: 0;  Error: -4,9567;
Input: 2,3164; -2,628; 3,1529; -0,0862;  Output: -0,7386; Desired output: 0;  Error: -0,7386;
Input: -1,8348; 11,0334; 3,1863; -4,8888;  Output: 8,9795; Desired output: 0;  Error: 8,9795;
Input: 1,3754; 8,8793; -1,9136; -0,5375;  Output: 14,6656; Desired output: 0;  Error: 14,6656;
Input: -0,1668; 5,8974; 0,4984; -0,7004;  Output: 17,7068; Desired output: 0;  Error: 17,7068;
Input: 0,2996; 7,1328; -0,3147; -1,1828;  Output: 14,6656; Desired output: 0;  Error: 14,6656;
Input: 0,2504; 9,3262; -3,6873; -6,2543;  Output: 8,1021; Desired output: 0;  Error: 8,1021;
Input: 2,4673; 1,3926; 1,7125; 0,4142;  Output: 12,5964; Desired output: 0;  Error: 12,5964;
Input: 0,7781; 6,6424; -1,1425; -1,0573;  Output: 14,6656; Desired output: 0;  Error: 14,6656;
Input: 3,4465; 2,9508; 1,0271; 0,5461;  Output: 7,516; Desired output: 0;  Error: 7,516;
Input: 2,2429; -4,1427; 5,2333; -0,4017;  Output: -0,513; Desired output: 0;  Error: -0,513;
Input: 3,7321; -3,884; 3,3577; -0,006;  Output: 1,4638; Desired output: 0;  Error: 1,4638;
Input: 4,3365; -3,584; 3,6884; 0,7491;  Output: 0,8335; Desired output: 0;  Error: 0,8335;
Input: -2,0759; 10,8223; 2,6439; -4,837;  Output: 7,4718; Desired output: 0;  Error: 7,4718;
Input: 4,0715; 7,6398; -2,0824; -1,1698;  Output: 14,6656; Desired output: 0;  Error: 14,6656;
Input: 0,7616; 5,8209; 1,1959; -0,6461;  Output: 3,1283; Desired output: 0;  Error: 3,1283;
Input: -0,5397; 7,3273; 0,4658; -1,4543;  Output: 14,6656; Desired output: 0;  Error: 14,6656;
Input: 2,6213; 5,7919; 0,0657; -1,5759;  Output: 14,6656; Desired output: 0;  Error: 14,6656;
Input: 3,0242; -3,3378; 2,5865; -0,5478;  Output: -10,1335; Desired output: 0;  Error: -10,1335;
Input: 5,8519; 5,3905; -2,4037; -0,0617;  Output: 16,0121; Desired output: 0;  Error: 16,0121;
